air_temp [K],process_temp [K],speed [RPM],torque [Nm],tool_wear [min],product_type_H,product_type_L,product_type_M
0.7282608695652171,0.5432098765432125,0.11233993015133877,0.5714285714285715,0.6877470355731226,0,1,0
0.721739130434782,0.6617283950617282,0.1658905704307334,0.592857142857143,0.8260869565217391,0,1,0
0.39130434782608375,0.37037037037036935,0.15424912689173456,0.5618131868131869,0.4268774703557312,0,1,0
0.3499999999999972,0.46790123456790245,0.07217694994179279,0.7949175824175825,0.7905138339920948,0,1,0
0.576086956521741,0.48148148148148434,0.0710128055878929,0.7362637362637363,0.47035573122529645,0,1,0
0.30434782608695815,0.3641975308641951,0.13213038416763678,0.6497252747252749,0.83399209486166,1,0,0
0.7054347826086975,0.5629629629629617,0.025611175785797437,0.7210164835164836,0.31225296442687744,0,0,1
0.7065217391304357,0.6296296296296306,0.17578579743888242,0.46428571428571436,0.8063241106719368,1,0,0
0.8282608695652189,0.7197530864197491,0.07625145518044238,0.8298076923076922,0.233201581027668,0,1,0
0.7923913043478231,0.7086419753086411,0.8632130384167637,0.10906593406593408,0.32806324110671936,0,0,1
0.8467391304347797,0.733333333333331,0.04423748544819558,0.7565934065934067,0.9011857707509882,0,1,0
0.5217391304347845,0.7160493827160488,0.17636786961583237,0.5961538461538463,0.7944664031620553,0,1,0
0.20652173913043256,0.3209876543209896,0.36437718277066355,0.32554945054945056,0.15019762845849802,0,0,1
0.8152173913043488,0.7901234567901254,0.459837019790454,0.22664835164835165,0.22134387351778656,0,1,0
0.7369565217391284,0.6320987654320975,0.11175785797438882,0.753434065934066,0.383399209486166,1,0,0
0.8195652173913014,0.6592592592592613,0.11233993015133877,0.6008241758241759,0.12648221343873517,0,1,0
0.6956521739130419,0.5185185185185157,0.16530849825378346,0.5178571428571429,0.33992094861660077,0,0,1
0.8913043478260868,0.7814814814814773,0.10884749708963912,0.611813186813187,0.758893280632411,0,1,0
0.690217391304345,0.5580246913580279,0.08323632130384168,0.753021978021978,0.15810276679841898,0,1,0
0.652173913043479,0.6296296296296306,0.2281722933643772,0.47664835164835173,0.20553359683794467,0,1,0
0.4673913043478279,0.40740740740740766,0.2159487776484284,0.44368131868131877,0.30039525691699603,0,0,1
0.5108695652173907,0.7160493827160488,0.28987194412107103,0.3873626373626374,0.5059288537549407,0,1,0
0.5434782608695659,0.48148148148148434,0.25145518044237486,0.42307692307692313,0.6996047430830039,0,1,0
0.6630434782608666,0.5925925925925923,0.02852153667054715,0.7802197802197803,0.40711462450592883,0,0,1
0.6739130434782604,0.5086419753086411,0.11233993015133877,0.6178571428571429,0.6837944664031621,0,1,0
0.03260869565217519,0.061728395061728225,0.15017462165308498,0.6153846153846154,0.4901185770750988,0,1,0
0.5554347826086978,0.4061728395061742,0.09487776484284051,0.7857142857142858,0.7233201581027668,0,1,0
0.4239130434782589,0.6172839506172823,0.3311990686845169,0.318543956043956,0.8853754940711462,0,1,0
0.4750000000000011,0.5,0.13038416763678695,0.7332417582417583,0.03557312252964427,0,1,0
